1|1|2025-03-28 22:11:13|0.00|PENDING|FREE|true|||||PICKUP
2|1|2025-03-28 22:12:09|0.00|PENDING|FREE|true|||||PICKUP
3|1|2025-03-28 22:13:49|0.00|PENDING|FREE|true|||||PICKUP
4|1|2025-03-28 22:13:56|0.00|PENDING|FREE|true|||||PICKUP
5|1|2025-03-28 22:13:59|0.00|PENDING|FREE|true|||||PICKUP
6|1|2025-03-29 00:19:07|0.00|PENDING|FREE|true|||||PICKUP
7|1|2025-03-29 00:22:05|0.00|PENDING|FREE|true|||||PICKUP
8|1|2025-03-29 00:41:43|0.00|PENDING|FREE|true|||||PICKUP
8|1|2025-03-29 00:45:17|130.50|PAYMENT_FAILED|NOT_PAID|false|3:2||||PICKUP
9|1|2025-03-29 00:47:20|20.50|PENDING|WALLET|true|1:1||||PICKUP
10|1|2025-03-29 16:51:13|0.00|PENDING|FREE|true|||||PICKUP
11|1|2025-03-29 17:06:34|0.00|PENDING|FREE|true|||||PICKUP
12|1|2025-03-29 17:13:35|0.00|PENDING|FREE|true|||||PICKUP
